"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"ENSG00000064218",161.14380150867,10.9265859340607,3.85817005850536,NA,NA,"DMRT3"
"ENSG00000285942",33.2879687050795,8.05074538218522,2.47451095739537,1.24693850585512e-08,NA,NA
"ENSG00000154330",15.3935170886902,8.01067067882078,2.63188704671407,0.084408761166731,NA,"PGM5"
"ENSG00000244563",64.3991859510341,7.92096449674318,2.69410917250135,0.000138479458559009,0.0226690873661097,"RPS26P19"
"ENSG00000284700",16.2471083142978,7.48061626390736,2.67781985206992,0.32287743509184,NA,"LOC105378714"
"ENSG00000285283",96.2828113253813,7.39089357502794,1.22992165199126,0.000187919366888325,0.0262926498800161,NA
"ENSG00000178522",208.928013597906,7.36827125887408,2.21736784571163,NA,NA,"AMBN"
"ENSG00000170689",28.5475655260332,6.96798996889138,2.82704639835467,0.401818936482183,NA,"HOXB9"
"ENSG00000286480",10.2377719250925,6.88396542413847,3.29138222054731,0.762180307325852,NA,NA
"ENSG00000229520",8.62513974484726,6.62708586052873,2.62647797711173,0.100393328938016,NA,NA
"ENSG00000231609",56.9895220049171,6.47051474951891,0.784393167031127,0.499913869521574,NA,"EHBP1-AS1"
"ENSG00000275379",211.388196585384,6.45881000923209,3.33912644021285,NA,NA,"H3C11"
"ENSG00000188931",12.0384628814039,6.27153269714274,2.90834766380199,0.478542014132358,NA,"CFAP126"
"ENSG00000250377",54.2006344988922,6.08557867445454,1.44193689163112,0.123657763842538,NA,NA
"ENSG00000293347",9.27362864844614,5.89801975238406,2.84493814492537,0.200182942929508,NA,NA
"ENSG00000135638",124.89209833039,5.77306290118196,1.74333862614896,0.625158173636913,0.943139967811287,"EMX1"
"ENSG00000164287",45.0557795112052,5.76584991177998,0.943010735419823,0.588666100854553,NA,"CDC20B"
"ENSG00000115507",627.31717253072,5.44293123511109,1.20833430936621,0.44365643301645,0.901030549561515,"OTX1"
"ENSG00000152669",20.6924994868304,5.38107070046745,1.05244063647056,0.0144818099730743,NA,"CCNO"
"ENSG00000168421",12.1247483204322,5.32559158603231,3.67181729385704,0.437590968642192,NA,"RHOH"
"ENSG00000118271",75.0225160325125,5.07379294773283,0.983998900109528,0.513011647552068,0.918936023039168,"TTR"
"ENSG00000231827",55.9034823470882,5.00392295338251,1.4610099268432,0.816323710937206,NA,NA
"ENSG00000169174",39.3872508931309,4.99971862364729,1.35929665855066,0.7398019126114,NA,"PCSK9"
"ENSG00000087510",291.133967261686,4.96506510948372,1.23089505327907,NA,NA,"TFAP2C"
"ENSG00000007350",208.63010722217,4.93380537204372,1.70106448448339,NA,NA,"TKTL1"
"ENSG00000237424",12.5502553011258,4.86049826839725,1.74109343790295,0.438886515066544,NA,"FOXD2-AS1"
"ENSG00000100146",47.3760782855797,4.76468081485479,0.773386696890694,0.770976887762643,NA,"SOX10"
"ENSG00000162761",51.1712438972062,4.74408396744441,1.36635138042252,0.581453469991915,NA,"LMX1A"
"ENSG00000142700",661.633458582914,4.69431736926354,1.64374361973239,0.913802123258305,0.988302719193762,"DMRTA2"
"ENSG00000267128",15.4970859326828,4.58949860265814,1.36879675557608,0.180328432906292,NA,"RNF157-AS1"
"ENSG00000225174",21.7077127067739,4.53284973793424,1.16455015019291,0.209132252833473,NA,"OSTM1-AS1"
"ENSG00000238230",20.0109873862218,4.33437116217058,1.28044268914173,0.375384827633419,NA,"LINC00391"
"ENSG00000169247",8.22264503014821,4.31925691863328,1.69178647194513,0.558443176885292,NA,"SH3TC2"
"ENSG00000111432",85.4120019028945,4.31333449163735,0.829544157381589,0.793209609062765,0.975999229638947,"FZD10"
"ENSG00000183671",15.5097992442745,4.30825346638146,1.200973734477,0.669294644968013,NA,"CMKLR2"
"ENSG00000112333",748.60079541971,4.29405850226717,1.3939015726901,0.798643318040784,0.976044851836152,"NR2E1"
"ENSG00000004848",491.469947640654,4.29178385755634,1.37966244325452,0.900441618742871,0.987979275379533,"ARX"
"ENSG00000085276",341.160673204883,4.26257309606119,0.410029711394625,0.843850171384677,0.982634460353779,"MECOM"
"ENSG00000075290",340.890397835337,4.253349343924,0.624669663146128,0.157137126855707,0.704363298638535,"WNT8B"
"ENSG00000256637",16.4369028426205,4.23451381492536,0.973226584866235,0.358835040822551,NA,NA
"ENSG00000182890",8.85545719746421,4.20932128819499,1.3582421744572,0.18094647577129,NA,"GLUD2"
"ENSG00000170989",581.624480076815,4.19904628608205,1.22780435708862,0.864919029727805,0.984243545363471,"S1PR1"
"ENSG00000164778",83.2962741798674,4.17877818969943,0.932388538156221,0.607262089287477,0.939199055210294,"EN2"
"ENSG00000188051",41.9069597634763,4.15313945062793,1.38827908410628,NA,NA,"TMEM221"
