"","4_7","4_9","87","90","91","95_3"
"eGFP",2.54712494028197,2.52439650030778,NA,2.23989676959535,3.41398372118277,3.2371394380571
"ENSG00000000003",2.36933639492801,2.48025227888522,1.67978592059371,2.20187319650142,1.66670964845087,2.1734125959587
"ENSG00000000005",2.74468482678985,0.430949351894355,1.95758027702625,0,0.304120962303315,1.38764920667994
"ENSG00000000419",2.0092602544822,1.56825544116413,2.40307625333742,2.46063210510097,2.13493662335831,2.30851188179654
"ENSG00000000457",1.02483772424898,1.1488262394504,1.03098402007694,0.99954949727432,1.05075832866404,1.01761985172488
"ENSG00000000460",0.737682667207497,0.781871948348964,0.828126464675591,0.806345760928741,0.827506849829504,0.979709597549341
"ENSG00000000938",0.715316101388503,1.17528400146442,1.62016195472425,0.286913536062891,2.7059123776967,3.40220934035684
"ENSG00000000971",0,0.24898175889625,0,0.107423450052586,0.153797241850144,0
"ENSG00000001036",1.79310588269065,1.70727234091807,1.44240550572722,1.88992599578185,1.46479520866933,2.40851542902229
"ENSG00000001084",1.3202089832107,1.01559409906863,1.32745178271142,1.079595048989,1.31183808851034,1.16253122116541
"ENSG00000001167",1.20228745603932,1.30145635803346,1.63460093741679,1.6080169967089,1.4266123497565,1.52206620715994
"ENSG00000001460",2.29766795344876,2.15551287836802,2.0519475768598,NA,2.92146849214876,3.28191775015161
"ENSG00000001461",1.28829320250875,1.35646997498419,1.34530704874712,1.53472332135729,1.39156863537304,1.5795776372645
"ENSG00000001497",0.392118812486247,0.31845339624972,0.524900999468276,0.31446072696099,0.392823535101823,0.356300177797
"ENSG00000001561",0.91576210869399,1.03517318111153,0.990030570838407,1.14963674047969,1.08113289161242,0.890763542834781
"ENSG00000001617",0.989699126960118,1.18725008577563,0.798359659155721,0.872274625675481,0.879031914537259,1.18499115763988
"ENSG00000001626",0.0233957302993595,0.095750736569072,0.0613287084145657,0.0768445067561389,0.00462540801134335,0.0892350623768483
"ENSG00000001629",0.83776579371396,0.635435250569199,0.953316711139622,1.10052908327273,1.31396682103088,0.856228893726564
"ENSG00000001630",1.39272407438042,1.44662358716844,1.28942941803553,1.78162449084329,1.8504305864406,1.51086509587063
"ENSG00000001631",0.87524526476874,0.864108387784546,1.16890284996282,1.06154979412369,1.03072877608169,1.09281329997975
"ENSG00000002016",0.411961916454631,0.295152930290124,0.36063657272225,0.454177474762727,0.469544496253571,0.349404947433273
"ENSG00000002079",0.063624865549919,0.772043403922773,0.194751449335367,0.0993061295810884,0.0370868958805059,0.105202783702003
"ENSG00000002330",2.68787277150914,2.71979583222216,NA,2.89519687126809,2.34214281552577,NA
"ENSG00000002549",1.13863120270513,1.60882945033663,1.57610846053778,1.22307675730378,1.55516337371071,1.36495517684882
"ENSG00000002586",1.9728913116206,2.42334751907676,2.09509996378833,1.98532392539371,1.21803736498352,NA
"ENSG00000002587",2.12825986968304,1.38883818952308,0.723532013387795,2.62551322430741,2.26952724273797,2.98833083305433
"ENSG00000002726",0.236998762557882,0.299964248053185,0.796626873283398,0.734917269668854,0.593439236207223,0.732964707814694
"ENSG00000002745",0.0623177216052199,0.0554211878075175,0.357029182120062,0.723965713422449,0.181358718769036,0.359205127146819
"ENSG00000002746",0.626067953194878,0.590834476668693,0.822550201689501,0.790801732328057,1.07990145195543,0.654084115784533
"ENSG00000002822",1.64832165953232,1.57669648942222,2.71436739961178,2.3996933674708,1.71568195913499,1.64852599079812
"ENSG00000002834",1.95600361978925,1.94784385591495,2.26083335678195,2.31984527554398,2.11695301259402,2.29148520680461
"ENSG00000002919",1.63930631261374,1.80485463828927,1.48133189247085,1.36495517684882,1.50273399229074,2.13669095380597
"ENSG00000002933",1.16202998647424,0.984662211204816,1.14903897447445,2.22657286854239,2.10666505277858,1.09972575334264
"ENSG00000003056",1.40417145711555,1.19953911938944,1.10425888636982,1.39422847292985,1.16985875982756,1.19329479474402
"ENSG00000003096",1.82856504881821,1.85574421798766,2.61908518787258,2.60210698930787,3.12139865724595,2.21683054003756
"ENSG00000003137",1.60104120144182,1.80875188363767,0.82708133581379,0.485410530049493,0.410398526591768,1.63109517931995
"ENSG00000003147",1.2233737385798,1.16262906381253,1.293130698561,1.51086509587063,1.17572955031961,1.36443070060381
"ENSG00000003249",2.65827263035209,2.68787277150914,4.57105384108936,2.32930000795876,NA,NA
"ENSG00000003393",0.857759939908114,0.777715356237367,1.14231033188291,1.1290948759576,1.15650619551617,0.967544286327216
"ENSG00000003400",0.397568088071076,0.358863217599938,0.242510661087545,0.320150884414548,0.398314157331442,0.32491051981314
"ENSG00000003402",0.955913306937024,1.2642507609959,0.913119899806336,0.765407364360337,1.033351711489,1.08977373953265
"ENSG00000003436",0.625635304700206,0.417587130717301,0.606626942463961,0.818095828194649,0.460810862758864,0.882112188618402
"ENSG00000003509",0.656786802162238,0.795487011303622,0.883272784800558,0.707766552064827,0.821459800682003,0.709204191407695
"ENSG00000003756",0.284901499346002,0.225088170212287,0.326191789841805,0.530591758121381,0.426901636421898,0.294707515267691
"ENSG00000003987",0.772996965686991,0.800851831703645,0.994361904831746,0.839877619747806,1.02257512453526,0.758829994398252
"ENSG00000003989",1.07785560886684,0.72763283655576,0.634533136439313,0.293088968708075,0.393716861321252,0.331131548342062
"ENSG00000004059",2.55766228540638,2.4933124892598,2.93696888622001,3.02826000055581,2.15536063656096,NA
"ENSG00000004139",1.09691680292891,1.34742909455114,1.10378703125382,1.07498708142969,1.0722351345758,1.45046094648673
"ENSG00000004142",2.19854088678867,2.09683591409832,2.03725116201643,NA,2.95170023663061,2.41004719399244
