"","gene_id","log2_RE_FC","Z_score"
"41189","ENSG00000253775",NA,NA
"41190","ENSG00000253776",NA,NA
"41191","ENSG00000253777",NA,NA
"41192","ENSG00000253778",-Inf,-0.707106781186548
"41193","ENSG00000253779",NA,NA
"41194","ENSG00000253780",NA,NA
"41195","ENSG00000253781",NA,NA
"41196","ENSG00000253782",NA,NA
"41197","ENSG00000253783",NA,NA
"41198","ENSG00000253784",NA,NA
"41199","ENSG00000253785",NA,NA
"41200","ENSG00000253786",NA,NA
"41201","ENSG00000253787",NA,NA
"41202","ENSG00000253789",NA,NA
"41203","ENSG00000253790",NA,NA
"41204","ENSG00000253792",NA,NA
"41205","ENSG00000253793",-0.0593453345517775,-0.531127447429267
"41206","ENSG00000253794",NA,NA
"41207","ENSG00000253795",NA,NA
"41208","ENSG00000253796",0.670731227127782,NA
"41209","ENSG00000253797",-Inf,NA
"41210","ENSG00000253798",NA,NA
"41211","ENSG00000253799",Inf,NA
"41212","ENSG00000253800",NA,NA
"41213","ENSG00000253801",NA,NA
"41214","ENSG00000253802",NA,NA
"41215","ENSG00000253803",NA,NA
"41216","ENSG00000253805",NA,NA
"41217","ENSG00000253806",NA,NA
"41218","ENSG00000253807",-0.0902546651907448,0.939286011467243
"41219","ENSG00000253808",NA,NA
"41220","ENSG00000253809",NA,NA
"41221","ENSG00000253810",NA,NA
"41222","ENSG00000253811",NA,NA
"41223","ENSG00000253813",-Inf,NA
"41224","ENSG00000253814",NA,NA
"41225","ENSG00000253816",-0.413550341577173,-4.36425513776361
"41226","ENSG00000253817",NA,NA
"41227","ENSG00000253818",NA,NA
"41228","ENSG00000253819",-Inf,NA
"41229","ENSG00000253820",NA,NA
"41230","ENSG00000253821",Inf,NA
"41231","ENSG00000253822",NA,NA
"41232","ENSG00000253823",NA,NA
"41233","ENSG00000253824",NA,NA
"41234","ENSG00000253825",NA,NA
"41235","ENSG00000253826",NA,NA
"41236","ENSG00000253828",NA,NA
"41237","ENSG00000253829",NA,NA
"41238","ENSG00000253831",-0.250077292800223,-2.83578394070715
"41239","ENSG00000253832",NA,NA
"41240","ENSG00000253833",-0.361134608010823,-0.403586044568848
"41241","ENSG00000253834",NA,NA
"41242","ENSG00000253836",NA,NA
"41243","ENSG00000253837",0.496627806036039,-0.936859135173417
"41244","ENSG00000253838",NA,NA
"41245","ENSG00000253840",NA,NA
"41246","ENSG00000253841",NA,NA
"41247","ENSG00000253842",Inf,NA
"41248","ENSG00000253843",NA,NA
"41249","ENSG00000253844",-1.19538440637804,1.25744468168348
"41250","ENSG00000253845",NA,NA
"41251","ENSG00000253846",0.101490136096741,-1.37243242109191
"41252","ENSG00000253848",NA,NA
"41253","ENSG00000253849",NA,NA
"41254","ENSG00000253851",NA,NA
"41255","ENSG00000253852",NA,NA
"41256","ENSG00000253853",-0.129701902563587,-4.77235402501994
"41257","ENSG00000253854",-0.00864226022696054,-1.03943928641584
"41258","ENSG00000253855",NA,NA
"41259","ENSG00000253857",-2.9890552608316,-0.93512497895204
"41260","ENSG00000253858",NA,NA
"41261","ENSG00000253859",NA,NA
"41262","ENSG00000253860",NA,NA
"41263","ENSG00000253861",NA,NA
"41264","ENSG00000253862",NA,NA
"41265","ENSG00000253865",-Inf,NA
"41266","ENSG00000253866",NA,NA
"41267","ENSG00000253868",-0.857398612874952,-1.83100607012767
"41268","ENSG00000253869",NA,NA
"41269","ENSG00000253870",NA,NA
"41270","ENSG00000253871",NA,NA
"41271","ENSG00000253872",NA,NA
"41272","ENSG00000253873",-0.505838879667025,-2.00136251190728
"41273","ENSG00000253874",NA,NA
"41274","ENSG00000253875",1.82908785425345,0.635258543477228
"41275","ENSG00000253877",-1.79448595169558,-0.64593409022316
"41276","ENSG00000253878",NA,NA
"41277","ENSG00000253879",NA,NA
"41278","ENSG00000253880",NA,NA
"41279","ENSG00000253881",NA,NA
"41280","ENSG00000253882",0.255446869037355,-0.413082545897699
"41281","ENSG00000253883",NA,NA
"41282","ENSG00000253884",NA,NA
"41283","ENSG00000253885",NA,NA
"41284","ENSG00000253886",-Inf,NA
"41285","ENSG00000253887",NA,NA
"41286","ENSG00000253888",1.91479021188578,7.01773549663685
"41287","ENSG00000253889",NA,NA
"41288","ENSG00000253891",-0.393606386760449,-2.87723293175973
"41289","ENSG00000253892",NA,NA
"41290","ENSG00000253893",0.28018020296607,0.500594050496404
"41291","ENSG00000253894",-1.28697614353975,-0.389743993521757
"41292","ENSG00000253895",NA,NA
"41293","ENSG00000253896",Inf,NA
"41294","ENSG00000253897",NA,NA
"41295","ENSG00000253898",NA,NA
"41296","ENSG00000253899",NA,NA
"41297","ENSG00000253900",NA,NA
"41298","ENSG00000253901",NA,NA
"41299","ENSG00000253903",NA,NA
"41300","ENSG00000253906",NA,NA
"41301","ENSG00000253907",NA,NA
"41302","ENSG00000253908",NA,NA
"41303","ENSG00000253910",0.434078955794348,-0.598645474575191
"41304","ENSG00000253911",NA,NA
"41305","ENSG00000253912",NA,NA
"41306","ENSG00000253913",NA,NA
"41307","ENSG00000253915",NA,NA
"41308","ENSG00000253916",NA,NA
"41309","ENSG00000253917",0.0749199330497085,1.92605651700432
"41310","ENSG00000253919",-0.127019753089663,0.31296692444335
"41311","ENSG00000253920",NA,NA
"41312","ENSG00000253921",NA,NA
"41313","ENSG00000253923",NA,NA
"41314","ENSG00000253924",NA,NA
"41315","ENSG00000253925",NA,NA
"41316","ENSG00000253926",NA,NA
"41317","ENSG00000253927",NA,NA
"41318","ENSG00000253930",NA,NA
"41319","ENSG00000253931",1.27291884610177,-0.169668098501216
"41320","ENSG00000253932",NA,NA
"41321","ENSG00000253934",NA,NA
"41322","ENSG00000253935",NA,NA
"41323","ENSG00000253936",NA,NA
"41324","ENSG00000253937",NA,NA
"41325","ENSG00000253939",NA,NA
"41326","ENSG00000253940",NA,NA
"41327","ENSG00000253941",NA,NA
"41328","ENSG00000253942",NA,NA
"41329","ENSG00000253943",-Inf,-0.577350269189626
"41330","ENSG00000253944",NA,NA
"41331","ENSG00000253945",NA,NA
"41332","ENSG00000253946",NA,NA
"41333","ENSG00000253947",NA,NA
