,4_7_IP_S4_L004_R.sf,4_9_IP_S5_L004_R.sf,87_IP_S1_L004_R.sf,90_IP_S2_L004_R.sf,91_IP_S3_L004_R.sf,95_3_IP_S6_L004_R.sf
5_8S_rRNA,NA,NA,NA,NA,NA,NA
5S_rRNA,NA,NA,NA,NA,NA,NA
7SK,NA,NA,NA,NA,NA,NA
ABHD15,0.524326467113149,1.45912689202199,0.482855199380453,1.35673890498893,NA,1.53110687012164
ABHD15-AS1,NA,NA,NA,NA,NA,NA
ABHD16A,0.746096609284514,0.808491181261244,0.514080698607105,0.608392079761162,0.59095289424875,0.752949317725574
ABHD16B,NA,NA,NA,NA,NA,Inf
ABHD17A,3.21180669252217,3.32881265178577,2.77680818663708,3.15479835010861,2.72903853585262,3.04028142008242
ABHD17AP1,Inf,4.1922475612975,2.03920068160297,Inf,5.00657041912931,5.9070039766908
ABHD17AP3,NA,NA,NA,NA,NA,NA
ABHD17AP4,NA,Inf,Inf,Inf,1.30285197098103,Inf
ABHD17AP5,Inf,NA,NA,Inf,NA,NA
ABHD17AP6,NA,Inf,Inf,NA,NA,NA
ABHD17AP7,NA,NA,NA,NA,NA,NA
ABHD17AP8,NA,NA,NA,NA,NA,NA
ABHD17AP9,NA,NA,NA,NA,NA,NA
ABHD17B,1.02457877590356,1.1603211225012,1.10238596780618,0.972933699348756,1.1540143918459,1.1097821864473
ABHD17C,2.59587605635991,2.42897725237781,1.98637564360914,2.45067376467608,2.89147486804833,2.38428554799028
ABHD18,0.548544173561636,0.656128710466937,0.661752663731789,0.511292570554587,0.782320376946591,0.619426489501354
ABHD2,0.811560229985446,0.663970274977241,0.73897180759443,0.644441311553378,0.490229769319033,0.628123884226934
ABHD3,NA,0.491433026735684,NA,NA,NA,NA
ABHD4,1.13034924818693,1.155439318212,1.12915960480709,0.935683590995634,0.534428521446742,0.990064214247459
ABHD5,1.43579250464447,1.48373032841217,1.38729197629248,1.42280127920859,1.90462492785664,1.1345458427498
ABHD6,1.61701703735335,1.29867153186109,1.00410418939652,1.42099941399741,1.15211204513572,1.3162312579558
ABHD8,2.42534687682957,2.5831650358215,2.84700422087352,2.59084958828297,2.24620063917426,2.7192867489534
ABI1,1.18685445025567,1.07263392739095,1.35307498634596,1.54774468301415,1.37325247801883,1.09659118903645
ABI1P1,NA,NA,NA,1.10554890465889,NA,NA
ABI2,1.18782606581314,1.13474477859396,1.46818084339937,1.59444062468674,1.50024924927685,1.10163300623424
ABI3,0.955562600137414,NA,5.60943029704991,4.65477587689917,NA,Inf
ABI3BP,NA,1.05198533855442,0.922485147885145,NA,NA,NA
ABITRAM,2.06553425804288,2.01895814907017,2.13592976862531,2.27425667409383,2.29940772122734,2.24664017563164
ABITRAMP1,NA,NA,NA,NA,NA,NA
ABL1,1.0686864357712,1.14423428629255,1.19008913461023,1.15586534486875,1.30777846283624,1.13474477859396
ABL2,0.568782451798707,0.566859243560661,0.651106776946188,0.500504244011446,0.668492341868914,0.431323322070113
ABLIM1,1.00938621521731,0.821709373820699,1.55551831989162,1.29472091823747,1.26282205963152,0.90599353308322
ABLIM2,1.23633432541481,1.27694531365509,1.78552566612384,1.44042402459395,1.63960693269883,1.14360892873796
ABLIM3,1.56374740395838,1.21252651919149,1.72877901463503,1.72813941569815,1.77202010953236,1.26201441086236
ABO,5.56559907063968,2.21732339332429,0.608948813215013,3.682387634525,0.973205842062716,1.20009720946878
ABR,1.13759821355185,1.06237462271313,1.02646706989404,1.11471579625021,1.33780495958495,1.05513222010221
ABR-AS1,NA,NA,NA,NA,NA,NA
ABRA,NA,NA,NA,NA,NA,NA
ABRACL,3.05938607437071,2.81091281126562,2.677139639737,2.98573209844996,3.1043353835305,2.661328667791
ABRAXAS1,1.04990712756488,1.3512327504682,1.11035799824282,0.750162100672381,0.744611693556516,0.718087555739076
ABRAXAS1P1,NA,NA,NA,NA,NA,NA
ABRAXAS1P2,NA,NA,NA,NA,NA,NA
ABRAXAS2,1.24835528051697,1.19403243628661,1.31046467688542,1.36598759905203,1.60160182387631,1.15451546387648
ABT1,2.32173102069767,2.02968082691537,1.9435204419934,1.92331029179214,2.18198865696157,2.18887683385713
ABT1P1,NA,NA,NA,NA,Inf,Inf
ABTB1,0.426252566401835,0.566487065712206,0.424721411262737,NA,NA,0.410422793418561
ABTB2,0.766821801280357,0.907868717461659,0.808699608519935,0.71472039253222,0.652939322650598,0.886916597295496
ABTB3,0.841527945956695,0.703180403706335,0.762086619370315,0.927550491958593,1.13463123841859,0.830911140520626
