"","gene_id","log2_RE_FC","Z_score","gene_name","gene_biotype"
"4100","DDAH1",-0.325052648167756,-7.93931217213153,NA,NA
"4101","KCNJ3",-0.400719641341648,-7.94512949471943,NA,NA
"4102","STMN1",-0.299154393912144,-7.94983433033983,NA,NA
"4103","ENSG00000267048",-1.04924520123813,-7.95404166300252,NA,"lncRNA"
"4104","RPRD2",-0.316847763801173,-7.95407267689374,NA,NA
"4105","EPB41",-0.272828797033039,-7.9613095793247,NA,NA
"4106","SLC7A5",0.319290318409346,-7.96363581921687,NA,NA
"4107","GPATCH2L",-0.263741815241698,-7.96476348460867,NA,NA
"4108","SLC30A1",0.647649977079399,-7.96769017816347,NA,NA
"4109","YWHAG",-0.218940291340744,-7.97397454437386,NA,NA
"4110","SAV1",0.342424196378698,-7.97572837472505,NA,NA
"4111","ATXN7L2",-0.305956206119003,-7.9772488767872,NA,NA
"4112","DDX24",-0.617093543678563,-7.9796355026686,NA,NA
"4113","DEXI",0.260589271773713,-7.98052108668977,NA,NA
"4114","RCN1",0.573117333043283,-7.98403117052257,NA,NA
"4115","STAMBPL1",-0.51012518533992,-7.98481545437447,NA,NA
"4116","GINM1",0.224541958352142,-7.98680422318006,NA,NA
"4117","MRPL50",-0.209810187619798,-7.98789911009385,NA,NA
"4118","MATR3",-0.201573891250666,-8.00601196685875,NA,NA
"4119","RAB4B",0.310713663957864,-8.00637549378082,NA,NA
"4120","MRPS15",-0.214387756468531,-8.00914140487524,NA,NA
"4121","MCRS1",0.276854314719351,-8.01082376580876,NA,NA
"4122","STAM",-0.280445131876655,-8.0128303651337,NA,NA
"4123","BCLAF1",-0.363299898852626,-8.01299710063964,NA,NA
"4124","HSPD1",-0.324567027165434,-8.02241164422139,NA,NA
"4125","ACBD3",-0.283744090203871,-8.02834909652453,NA,NA
"4126","CBX6",0.293613915100307,-8.02878209671311,NA,NA
"4127","BRPF3",-0.26910208342172,-8.03316575136994,NA,NA
"4128","ZNF197",-0.258898881933114,-8.04247868746134,NA,NA
"4129","ITFG2",0.269014728595193,-8.04375528576299,NA,NA
"4130","ZNF713",-0.344590491959369,-8.04419177625002,NA,NA
"4131","CYB5D1",-0.214839525503736,-8.04559502941714,NA,NA
"4132","PREPL",-0.381907702746916,-8.04793675445443,NA,NA
"4133","ELMO1",-0.515242583459951,-8.05923532918526,NA,NA
"4134","ST6GAL2",-0.367520363003514,-8.05925741638856,NA,NA
"4135","RAB6D",-0.769230791345093,-8.06194458585914,NA,NA
"4136","JAZF1",-0.419437205108338,-8.06355975944632,NA,NA
"4137","DIXDC1",-0.29024019139279,-8.06400042960568,NA,NA
"4138","GPC2",0.396795650799356,-8.06487246061047,NA,NA
"4139","ENSG00000213976",-0.336051484945034,-8.06567568752052,NA,"unprocessed_pseudogene"
"4140","OSGIN2",-0.33734764390029,-8.06802830176148,NA,NA
"4141","PAFAH1B3",-0.300303725676901,-8.06858323344773,NA,NA
"4142","ADGRG2",-0.29492122299658,-8.06927856003345,NA,NA
"4143","TCP11L1",-0.252915857678436,-8.07138564658047,NA,NA
"4144","DCTN4",-0.224160841906494,-8.07166948859619,NA,NA
"4145","TPTE2P5",-1.03632132562845,-8.07178338833034,NA,NA
"4146","FAM78B",-0.261780448095025,-8.07359989770191,NA,NA
"4147","STXBP5-AS1",-0.354051798293498,-8.07538708802796,NA,NA
"4148","SNRK",-0.232984468176628,-8.07643059389657,NA,NA
"4149","VCPIP1",-0.216496525407135,-8.07944205177512,NA,NA
"4150","PHYHIP",-0.398044937384784,-8.08349996413884,NA,NA
"4151","EPDR1",0.484173347230845,-8.0839143482063,NA,NA
"4152","CRMP1",-0.254958560908533,-8.08501849158766,NA,NA
"4153","PEBP1",-0.221526686353703,-8.08806759099895,NA,NA
"4154","MAPK13",-0.588890389862403,-8.08993841917323,NA,NA
"4155","BTBD8",-0.616377134441848,-8.0935279945973,NA,NA
"4156","CDIN1",-0.331216179070641,-8.09398359449104,NA,NA
"4157","ZMYM5",-0.237371901527045,-8.10212402738534,NA,NA
"4158","PJA1",-0.52345890735401,-8.10408747943228,NA,NA
"4159","SH3YL1",0.240354155891454,-8.10509615587339,NA,NA
"4160","BTF3L4",-0.323086009785581,-8.10825715385811,NA,NA
"4161","KCNS2",-0.368608081033326,-8.11003171446226,NA,NA
"4162","POFUT1",0.375406164637933,-8.11106957707026,NA,NA
"4163","R3HDM1",-0.300784492077886,-8.11316377158287,NA,NA
"4164","SBNO1",-0.219859791057538,-8.117741193548,NA,NA
"4165","EXOC2",-0.218199591258304,-8.12740954780001,NA,NA
"4166","PPP3CC",-0.558798687905016,-8.13250264417381,NA,NA
"4167","TSPEAR-AS1",0.220186666588819,-8.13303302563998,NA,NA
"4168","PCID2",-0.217325065245324,-8.13587154667638,NA,NA
"4169","SNX18",-0.405232064713662,-8.13945569830303,NA,NA
"4170","SRM",-0.200180369278977,-8.14522778270378,NA,NA
"4171","CAMK2G",-0.248081592560201,-8.14821344889604,NA,NA
"4172","METTL5",-0.256822681289085,-8.15111150038139,NA,NA
"4173","TBX6",0.203438962904392,-8.15555099895729,NA,NA
