"","4_7","4_9","87","90","91","95_3"
"EGFP",1.14240899107236,1.65963191233086,1.48328693736562,1.37453913287312,1.50413717045387,1.58705639871135
"ENSG00000000003",1.11224927674891,1.16035435605821,0.920139636794023,1.96048414583814,1.13009491460483,1.3442085801063
"ENSG00000000005",1.1804902054927,1.38252366155258,1.46797432112425,0,0.278181938348681,0.385387776606037
"ENSG00000000419",1.04023798639613,0.95373053310619,1.14817365155368,NA,1.25375369315579,1.32509111804045
"ENSG00000000457",0.704807946760899,0.828565635142136,0.822643032411729,1.16902456307536,0.932826350686195,0.750858680669059
"ENSG00000000460",0.453285254158216,0.560205765082078,0.509886827565301,0.69921520912682,0.578343895920327,0.680489690788357
"ENSG00000000938",0.880095343704228,0.694632298948498,1.0886354939932,NA,1.14951386474052,NA
"ENSG00000000971",1.18096574525571,1.38644974834456,0,0,1.16965087085775,0
"ENSG00000001036",1.18587635882595,1.31129184574752,0.886332066784823,NA,1.04976612989403,1.59083435482854
"ENSG00000001084",1.18372826479846,NA,0.820718574042409,NA,0.778341186452239,0.734132952434594
"ENSG00000001167",1.18322419839745,1.26930657988951,0.879654385889579,1.12465543378982,0.850521854079791,0.869344257253967
"ENSG00000001460",1.18610687472662,1.31529135709806,1.15494045092784,NA,1.54440975978537,1.69635543692083
"ENSG00000001461",1.18531561078537,1.29365298060811,0.884843080968459,NA,1.0950489123307,1.13568673599493
"ENSG00000001497",1.18224904630122,1.4118754923702,0.302081866914356,0.328645229256053,0.245436936577995,0.194430131785142
"ENSG00000001561",0.506061264874877,0.563551332119765,0.551050087072353,1.07988864210247,0.650543863249675,0.490583074684647
"ENSG00000001617",0.830935563357286,0.925507250205523,0.607766471978555,0.85559726082423,0.757495585808321,0.938276612143617
"ENSG00000001626",1.18743041234045,1.35495631056457,1.14475869886307,1.5070648483039,0.365093032626806,0.656066807746156
"ENSG00000001629",0.543102711817272,0.410205637291976,0.592590757038307,1.35670208744322,0.936047139685103,0.525151908873365
"ENSG00000001630",0.802775531946218,0.845411971529096,0.768861259941635,1.73584155327745,1.14883003893102,0.854379140018335
"ENSG00000001631",0.592907258400974,0.509420071625261,0.678389421508594,0.721801465986233,0.596420582730107,0.571406953954255
"ENSG00000002016",0.200904888895019,0.14535895665244,0.2468501390222,0.445527789758096,0.330830792931506,0.229048273715386
"ENSG00000002079",1.18743041234045,0,0,0,0,0
"ENSG00000002330",1.17734496903068,1.35356943639143,1.48045273967198,NA,NA,1.60555677666251
"ENSG00000002549",0.740949340368479,1.07934417137025,0.956141405113082,1.41924003352406,0.922429074643332,1.0017715269413
"ENSG00000002586",0.992283748123897,1.70028153481123,1.00949937611021,Inf,0.758686102372418,1.55116419888231
"ENSG00000002587",1.16513275662739,1.85309207562232,0.943120418827684,1.342494959011,1.15396042900803,NA
"ENSG00000002726",1.18755024286367,1.67065837985631,1.48329612922823,1.730686478517,NA,1.23974604735543
"ENSG00000002745",1.18849896559753,NA,0,NA,0,0.240195142771596
"ENSG00000002746",1.18961275871036,0.369295263946849,0.551628100266679,0.792486515398199,0.734013534503208,0.388362789379807
"ENSG00000002822",0.898401635865023,1.06408754957345,1.31148885808273,NA,1.29520629941955,1.18096574525571
"ENSG00000002834",0.993128699829972,1.22209595406482,1.29087767898423,Inf,1.24316961541318,1.27786794671203
"ENSG00000002919",1.06921775914817,1.41213015396701,1.08268979747582,1.84280540814997,1.30006823883784,1.53315083127319
"ENSG00000002933",1.01046388002732,1.09324448906474,1.18322419839745,NA,1.52858268347037,1.295600887233
"ENSG00000003056",0.864351091920948,0.876379327714768,0.702563002538745,NA,0.789594258756494,0.833718186468528
"ENSG00000003096",0.928523472263279,1.10901548067793,1.13194867359454,1.48176234746242,1.37485099923683,1.19268123364682
"ENSG00000003137",0.572230072091501,0.663415489130915,0.690300913030041,0.38478773648147,0.289900988505386,0.996056204990665
"ENSG00000003147",0.702563002538745,0.865941542736698,1.01337437712937,3.11605578240148,1.13890476981167,0.959224162689848
"ENSG00000003249",1.17471389506739,1.2645089083347,1.47800092747765,NA,NA,1.20325221348401
"ENSG00000003393",0.49981734982767,0.505905281848794,0.721801465986233,1.0761202242169,0.744230822330869,0.599161990508799
"ENSG00000003400",0.145851562618806,0.299069620095853,0.0924306234559589,0.274847591097416,1.14844368424552,0.177555980207311
"ENSG00000003402",0.498951662817182,0.611623146942749,0.572473950198532,0.679375169185107,0.57988391748882,0.582103650852596
"ENSG00000003436",0.561578129730547,1.04749970437489,0.396968662231267,0.905629019914815,0.41968175051064,0.727642046096796
"ENSG00000003509",0.450025296764943,0.493141565884807,0.624639011951236,0.650857347478458,0.565752398372122,0.450580002920849
"ENSG00000003756",0.158022764711075,0.115308304795142,0.23942850362934,0.527013592585909,0.327878919354872,0.186624351246758
"ENSG00000003987",0.612697351209944,0.611381552978273,0.753672615728495,1.20611792992988,0.875027934690594,0.591561763949321
"ENSG00000003989",0.628403757841822,0.485801227511904,0.3558647147969,0.283751338677624,0.259550947259018,0.198911699241374
"ENSG00000004059",1.15773723144703,1.73371450305393,1.4298112892503,Inf,1.63992186470574,1.1503974015056
"ENSG00000004139",0.772804938555605,1.02138359114176,0.866663658289304,1.68437753743281,0.857185478923216,1.01794646050239
"ENSG00000004142",1.08412993096469,1.4298112892503,1.29526106061682,1.70076661462729,1.51925080051781,1.61765726318079
"ENSG00000004399",0.302081866914356,0.438525658230716,0.445527789758096,0.373928055761284,0.440453615340971,0.877020724688409
"ENSG00000004455",1.09909569926526,1.55868378562651,1.2243527474289,NA,1.15312632453464,NA
